Name,Ticker,Country,Industry,Sector,Business Summary,Beta,Trailing PE,Forward PE,Price to Book,Market Cap,Shares Outstanding,Book Value,Trailing EPS,Forward EPS,PEG Ratio,Enterprise to Revenue,Enterprise to EBITDA,Total Revenue,Debt to Equity,Revenue per Share,Return on Assets,Return on Equity
"Lifecore Biomedical, Inc.",LFCR,United States,Drug Manufacturers - Specialty & Generic,Healthcare,"Lifecore Biomedical, Inc., together with its subsidiaries, operates as an integrated contract development and manufacturing organization in the United States and internationally. The company engages in the manufacturing of pharmaceutical-grade sodium hyaluronate (HA) in bulk form, as well as formulated and filled syringes and vials for injectable products used in treating a range of medical conditions and procedures. It also provides services, such as technology development, material component changes, analytical method development, formulation development, pilot studies, stability studies, process validation, and production of materials for clinical studies to its partners for HA-based and non-HA based aseptically formulated and filled products. The company was formerly known as Landec Corporation and changed its name to Lifecore Biomedical, Inc. in November 2022. Lifecore Biomedical, Inc. was founded in 1965 and is headquartered in Chaska, Minnesota.",0.97,N/A,-10.566667,10.949914,195713904,30869700,0.579,-0.82,-0.6,1.39,2.968,-33.379,121521000,212.452,3.995,-0.04329,-0.31148002
"LifeMD, Inc.",LFMD,United States,Health Information Services,Healthcare,"LifeMD, Inc. operates as a direct-to-patient telehealth company that connects consumers to healthcare professionals for medical care in the United States. The company offers telehealth platform comprising RexMD, a men's telehealth brand that provides access to virtual medical treatment for a variety of men's health needs from licensed physician; ShapiroMD that provides virtual medical treatment, prescription medications, patented doctor formulated OTC products, topical compounded medications, and medical devices treating male and female hair loss; NavaMD, a female-oriented tele-dermatology that offers virtual medical treatment from dermatologists and other providers; and prescription oral and compounded topical medications to treat aging and acne; and Cleared which provides personalized treatments for allergy, asthma and immunology, including in-home tests for both environmental and food allergies, prescriptions for allergies and asthma and immunotherapies for treating chronic allergies. It also provides LifeMD PC, a direct-to-consumer virtual primary care which includes 24/7 access to a provider for their primary care, urgent care, and chronic care needs; and offers virtual consultations and treatment, prescription medications, diagnostics and imaging, wellness coaching, and more. In addition, the company offers PDFSimpli, an online software as a service platform that allows users to create, edit, convert, sign, and share PDF documents; ResumeBuild which provides digital resume and cover letter services; SignSimpli, a digital signature platform; and LegalSimpli, a provider of legal forms for consumers and small businesses. It sells its products directly to consumers and through e-commerce platforms, as well as through third party partner channels. The company was formerly known as Conversion Labs, Inc. and changed its name to LifeMD, Inc. in February 2021. LifeMD, Inc. was incorporated in 1994 and is headquartered in New York, New York.",1.244,N/A,-136,N/A,234294816,43068900,-0.101,-0.7,-0.04,N/A,1.243,-12.339,178279872,N/A,4.698,-0.24200001,N/A
"LifeMD, Inc. - 8.875% Series A ",LFMDP,United States,Health Information Services,Healthcare,"LifeMD, Inc. operates as a direct-to-patient telehealth company that connects consumers to healthcare professionals for medical care in the United States. The company offers telehealth platform comprising RexMD, a men's telehealth brand that provides access to virtual medical treatment for a variety of men's health needs from licensed physician; ShapiroMD that provides virtual medical treatment, prescription medications, patented doctor formulated OTC products, topical compounded medications, and medical devices treating male and female hair loss; NavaMD, a female-oriented tele-dermatology that offers virtual medical treatment from dermatologists and other providers; and prescription oral and compounded topical medications to treat aging and acne; and Cleared which provides personalized treatments for allergy, asthma and immunology, including in-home tests for both environmental and food allergies, prescriptions for allergies and asthma and immunotherapies for treating chronic allergies. It also provides LifeMD PC, a direct-to-consumer virtual primary care which includes 24/7 access to a provider for their primary care, urgent care, and chronic care needs; and offers virtual consultations and treatment, prescription medications, diagnostics and imaging, wellness coaching, and more. In addition, the company offers PDFSimpli, an online software as a service platform that allows users to create, edit, convert, sign, and share PDF documents; ResumeBuild which provides digital resume and cover letter services; SignSimpli, a digital signature platform; and LegalSimpli, a provider of legal forms for consumers and small businesses. It sells its products directly to consumers and through e-commerce platforms, as well as through third party partner channels. The company was formerly known as Conversion Labs, Inc. and changed its name to LifeMD, Inc. in February 2021. LifeMD, Inc. was incorporated in 1994 and is headquartered in New York, New York.",1.244,N/A,N/A,N/A,N/A,N/A,-0.101,-2.256,N/A,N/A,5.206,-51.687,178279872,N/A,4.698,-0.24200001,N/A
"LifeStance Health Group, Inc.",LFST,United States,Medical Care Facilities,Healthcare,"LifeStance Health Group, Inc., through its subsidiaries, provides outpatient mental health services to children, adolescents, adults, and geriatrics in the United States. The company offers patients a suite of mental health services, including psychiatric evaluations and treatment, psychological, and neuropsychological testing, as well as individual, family, and group therapy. It treats a range of mental health conditions, including anxiety, depression, bipolar disorder, eating disorders, psychotic disorders, and post-traumatic stress disorder. In addition, the company operates an outpatient mental health platform, as well as offers patient care virtually through its online delivery platform or in-person at its centers. LifeStance Health Group, Inc. was founded in 2017 and is headquartered in Scottsdale, Arizona.",1.199,N/A,-35.88889,1.7314394,2471744768,382623008,3.731,-0.43,-0.18,N/A,2.493,506.075,1156265984,34.777,3.08,-0.02252,-0.103190005
Lifevantage Corporation,LFVN,United States,Packaged Foods,Consumer Defensive,"LifeVantage Corporation engages in the identification, research, development, formulation, and sale of advanced nutrigenomic activators, dietary supplements, nootropics, pre- and pro-biotics, weight management, skin and hair care, bath and body, and targeted relief products. It offers Protandim, a dietary supplement; LifeVantage Omega+, a dietary supplement that combines DHA and EPA Omega-3 fatty acids, Omega-7 fatty acids, and vitamin D3; LifeVantage ProBio, a dietary supplement to support gut health; PhysIQ, a weight management system; LifeVantage IC Bright, a supplement to support eye and brain health, reduce eye fatigue and strain, supports cognitive functions, and support normal sleep patterns; Petandim for Dogs, a supplement to combat oxidative stress in dogs; and Axio, a nootropic energy drink mix. The company also provides anti-aging skin care products, including liquid collagen, facial cleansers, perfecting lotions, eye serums, anti-aging creams, hand creams, beauty serum, as well as hair care products, such as invigorating shampoos, nourishing conditioners, and scalp serums under the LifeVantage TrueScience brand name. In addition, it offers bath and body, and targeted relief products, such as body lotion, body wash, body butter, deodorant, soothing balm, and body rub under the TrueScience brand name. It sells its products through its website and network of independent distributors in the United States, Mexico, Japan, Australia, Hong Kong, Canada, Thailand, the United Kingdom, the Netherlands, Germany, Taiwan, Austria, Spain, Ireland, Belgium, New Zealand, Singapore, and the Philippines. The company was founded in 2003 and is headquartered in Lehi, Utah.",0.833,30.48276,12.6285715,4.189574,112273304,12700600,2.11,0.29,0.7,1.07,0.528,14.85,205454000,50.532,16.374,0.03529,0.11951
ReWalk Robotics Ltd.,LFWD,Israel,Medical Devices,Healthcare,"ReWalk Robotics Ltd., a medical device company, designs, develops, and commercializes technologies that enable mobility and wellness in rehabilitation and daily life for individuals with physical and neurological conditions in the United States, Europe, the Asia-Pacific, and internationally. It offers ReWalk personal exoskeleton and rehabilitation exoskeleton devices; ReStore, a soft exo-suit intended for use in the rehabilitation of individuals with lower limb disability due to stroke; AlterG Anti-Gravity System for use in physical and neurological rehabilitation and athletic training; MyoCycle devices; and ReBoot, a personal soft exo-suit for home and community use by individuals post-stroke. The company markets and sells its products directly to institutions and individuals, as well as through third-party distributors. The company was formerly known as Argo Medical Technologies Ltd. ReWalk Robotics Ltd. was incorporated in 2001 and is headquartered in Yokneam Illit, Israel.",2.068,N/A,-3.6595745,0.8092214,30897736,8773780,4.251,-2.71,-0.94,N/A,0.702,-0.884,23277000,3.516,2.713,-0.23727,-0.49655
"LogicMark, Inc.",LGMK,United States,Health Information Services,Healthcare,"LogicMark, Inc. provides personal emergency response systems (PERS), health communications devices, and Internet of Things (IoT) technology that creates a connected care platform in the United States. The company's devices provide people with the ability to receive care at home and age independently and to check, manage, and monitor a loved one's health and safety remotely. It also manufactures and distributes non-monitored and monitored personal emergency response systems, which are offered through the United States Veterans Health Administration (VHA), direct-to-consumers, healthcare durable medical equipment dealers and distributors, monitored security dealers and distributors, and its ecommerce website logicmark.com and Amazon.com. The company was formerly known as Nxt-ID, Inc. and changed its name to LogicMark, Inc. in March 2022. LogicMark, Inc. was founded in 2006 and is based in Louisville, Kentucky.",1.278,N/A,-0.029934641,0.04166477,2249329,11863500,4.397,-9.41,-6.12,N/A,0.037,-0.057,9740267,0.743,5.212,-0.23158,-0.79716
Ligand Pharmaceuticals Incorpor,LGND,United States,Biotechnology,Healthcare,"Ligand Pharmaceuticals Incorporated, a biopharmaceutical company, engages in the development and licensing of biopharmaceutical assets worldwide. Its commercial programs include Kyprolis and Evomela, which are used to treat multiple myeloma; Rylaze, a recombinant erwinia asparaginase for the treatment of acute lymphoblastic leukemia or lymphoblastic lymphoma in adult and pediatric patients; Filspari, a dual endothelin and angiotensin II receptor antagonist in development for rare kidney diseases and non-immunosuppressive treatment indicated for immunoglobulin A nephropathy; Teriparatide injection product for osteoporosis; Vaxneuvance for the prevention of invasive disease caused by streptococcus pneumoniae serotypes; and Pneumosil, a pneumococcal conjugate vaccine to help fight against pneumococcal pneumonia among children. The company also offers TZIELD, a CD3-directed antibody indicated to delay the onset of Stage 3 type 1 diabetes (T1D) in adults and children aged 8 years and older with Stage 2 T1D; Nexterone, a captisol-enabled formulation of amiodarone; Zulresso, a captisol-enabled formulation of brexanolone for the treatment of postpartum depression; and Veklury, an antiviral treatment for moderate or severe COVID-19. In addition, it provides Noxafil-IV, a captisol-enabled formulation of posaconazole for IV use; Duavee for the treatment of post-menopausal symptoms in women; Exemptia for autoimmune diseases; Vivitra for breast cancer; and Bryxta and Zybev for various indications. The company has alliances, licenses, and other business relationships with Amgen, Merck, Pfizer, Jazz, Takeda, Gilead Sciences, and Baxter International. Further, it sells Captisol materials. Ligand Pharmaceuticals Incorporated was incorporated in 1987 and is based in Jupiter, Florida.",0.917,44.57627,16.831999,2.4566813,1921898752,18269000,42.822,2.36,6.25,0.96,12.756,39.541,133478000,0.986,7.561,0.00614,0.058530003
Longeveron Inc.,LGVN,United States,Biotechnology,Healthcare,"Longeveron Inc., a clinical stage biotechnology company, develops cellular therapies for aging-related and life-threatening conditions in the United States and Japan. The company's lead investigational product is the LOMECEL-B, an allogeneic mesenchymal stem cell formulation sourced from the bone marrow of young and healthy adult donors. It is conducting Phase 1, Phase 1/2, Phase 2a, and Phase 2b clinical trials in various indications, such as aging-related frailty, alzheimer's disease, and hypoplastic left heart syndrome. Longeveron Inc. was incorporated in 2014 and is headquartered in Miami, Florida.",0.421,N/A,-1.31694,1.5518353,37212572,12875500,1.553,-8.24,-1.83,N/A,19.511,-1.393,1229000,11.723,0.364,-0.62243,-1.42164
Lipella Pharmaceuticals Inc.,LIPO,United States,Biotechnology,Healthcare,"Lipella Pharmaceuticals Inc., a biotechnology company, focuses on developing drugs by reformulating the active agents in existing generic drugs and optimizing these reformulations for various applications. The company develops LP-10, a formulation of tacrolimus that has completed Phase 2a clinical trial for patients with radiation-induced hemorrhagic cystitis; LP-310, a formulation of tacrolimus for the treatment of oral lichen planus; and LP-410, an oral liposomal formulation of tacrolimus for the treatment of oral graft-versus-host disease (GVHD). Lipella Pharmaceuticals Inc. was incorporated in 2005 and is headquartered in Pittsburgh, Pennsylvania.",N/A,N/A,-1.19,2.125,4158407,8004640,0.224,-0.56,-0.4,N/A,5.358,N/A,507204,5.498,0.074,-0.9377,-1.71559
LivaNova PLC,LIVN,United Kingdom,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. The company operates through Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support segments. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, markets, and sells VNS Therapy System, an implantable pulse generator and connective lead that stimulates the vagus nerve; difficult-to-treat depression and drug-resistant epilepsy devices. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. LivaNova PLC was incorporated in 2015 and is headquartered in London, the United Kingdom.",0.994,N/A,12.988858,2.0375793,2531915776,54298000,22.885,-0.31,3.59,-3.23,2.381,16.486,1209731968,54.528,22.327,0.03343,-0.013359999
"Lixte Biotechnology Holdings, I",LIXT,United States,Biotechnology,Healthcare,"LIXTE Biotechnology Holdings, Inc., a clinical-stage pharmaceutical company, focuses on identifying targets for cancer drug development, and developing and commercializing cancer therapies. Its lead product candidate, LB-100 is in phase 1b clinical trials combined with Atezolizumab for patients with microsatellite stable metastatic colon cancer. The company's Phase 1b portion of its advanced soft tissue sarcoma clinical trial seeks to determine appropriate dosing and toxicity for treating soft tissue sarcomas with combination of LB-100 and standard-of-care chemotherapy; and LB-100 combined with dostarlimab that is in phase 1b/2 for ovarian clear cell carcinoma. The company has a clinical trial research agreement with the Netherlands Cancer Institute; collaboration agreement for an investigator-initiated clinical trial with the Spanish Sarcoma Group; and a development collaboration agreement with the Netherlands Cancer Institute. Lixte Biotechnology Holdings, Inc. was founded in 2005 and is based in Pasadena, California.",-0.216,N/A,N/A,N/A,4498804,2249290,-0.557,-1.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.87331,-1.63334
"Lixte Biotechnology Holdings, I",LIXTW,United States,Biotechnology,Healthcare,"LIXTE Biotechnology Holdings, Inc., a clinical-stage pharmaceutical company, focuses on identifying targets for cancer drug development, and developing and commercializing cancer therapies. Its lead product candidate, LB-100 is in phase 1b clinical trials combined with Atezolizumab for patients with microsatellite stable metastatic colon cancer. The company's Phase 1b portion of its advanced soft tissue sarcoma clinical trial seeks to determine appropriate dosing and toxicity for treating soft tissue sarcomas with combination of LB-100 and standard-of-care chemotherapy; and LB-100 combined with dostarlimab that is in phase 1b/2 for ovarian clear cell carcinoma. The company has a clinical trial research agreement with the Netherlands Cancer Institute; collaboration agreement for an investigator-initiated clinical trial with the Spanish Sarcoma Group; and a development collaboration agreement with the Netherlands Cancer Institute. Lixte Biotechnology Holdings, Inc. was founded in 2005 and is based in Pasadena, California.",-0.216,N/A,N/A,N/A,N/A,N/A,-0.557,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.87331,-1.63334
"LeMaitre Vascular, Inc.",LMAT,United States,Medical Instruments & Supplies,Healthcare,"LeMaitre Vascular, Inc. develops, manufactures, and markets medical devices and implants used in the field of vascular surgery worldwide. It offers human cadaver tissue cryopreservation services; angioscope, a fiberoptic catheter used for viewing the lumen of a blood vessel; embolectomy catheters to remove blood clots from arteries; thrombectomy catheters for removing thrombi in the venous system; occlusion catheters that temporarily occlude the blood flow; and perfusion catheters to perfuse the blood and other fluids into the vasculature. The company also provides artegraft biologic graft, a bovine carotid artery used for dialysis access; XenoSure biologic patches, used for closure of vessels after surgical intervention; VascuCel and CardioCel biologic patches, used in vessel repair, heart repair and reconstruction, and neonatal repairs; cardiovascular patches; carotid shunts that temporarily shunt the blood to the brain during the removal of plaque in a carotid endarterectomy surgery; biosynthetic vascular graft indicated for lower extremity bypass and dialysis access; and vascular grafts used to bypass or replace diseased arteries. In addition, it offers radiopaque tape, a medical-grade tape applied to the skin that enables surgeons and interventionalists to cross-refer between the inside and the outside of a patient's body and allows them to locate tributaries or lesions beneath the skin. Further, the company provides valvulotomes, which cut or disrupt valves in the saphenous vein to function as an artery to carry blood past diseased arteries to the lower leg or the foot; and closure systems to attach vessels to one another with titanium clips instead of sutures. It markets its products through a direct sales force and distributors. The company was formerly known as Vascutech, Inc. and changed its name to LeMaitre Vascular, Inc. in April 2001. LeMaitre Vascular, Inc. was incorporated in 1983 and is headquartered in Burlington, Massachusetts.",0.885,55.00606,44.273174,6.382111,2058808960,22468800,14.221,1.65,2.05,7.76,9.457,35.2,205620992,5.761,9.203,0.08274,0.1249
"LENSAR, Inc.",LNSR,United States,Medical Devices,Healthcare,"LENSAR, Inc., a commercial-stage medical device company, focuses on designing, developing, and marketing a femtosecond laser system for the treatment of cataracts and the management of pre-existing or surgically induced corneal astigmatism. It offers LENSAR Laser System that incorporates a range of proprietary technologies designed to assist the surgeon in obtaining visual outcomes, efficiency, and reproducibility by providing imaging, procedure planning, design, and precision. The company also offers ALLY Adaptive Cataract Treatment System, a platform design to femtosecond laser technology features that enhanced laser capabilities into a single small unit that allows surgeons to perform a femtosecond laser assisted cataract procedure in a single operating room. LENSAR, Inc. was incorporated in 2004 and is headquartered in Orlando, Florida.",0.648,N/A,-5.6172843,2.2216797,53269584,11608400,2.048,-1.07,-0.81,N/A,1.206,-7.617,45124000,5.432,3.995,-0.10153,-0.29948
"Lantheus Holdings, Inc.",LNTH,United States,Drug Manufacturers - Specialty & Generic,Healthcare,"Lantheus Holdings, Inc. develops, manufactures, and commercializes diagnostic and therapeutic products that assist clinicians in the diagnosis and treatment of heart, cancer, and other diseases worldwide. It provides DEFINITY, an injectable ultrasound enhancing agent used in echocardiography exams; TechneLite, a technetium generator for nuclear medicine procedures; Xenon-133, a radiopharmaceutical gas to assess pulmonary function; Neurolite, an injectable imaging agent to identify the area within the brain where blood flow has been blocked or reduced due to stroke; Cardiolite, an injectable Tc-99m-labeled imaging agent to assess blood flow to the muscle of the heart; and PYLARIFY, an F 18-labelled PSMA-targeted PET imaging agent used for imaging of PSMA positive-lesions in men with prostate cancer. The company also offers Automated Bone Scan Index that calculates the disease burden of prostate cancer by detecting and classifying bone scan tracer uptakes as metastatic or benign lesions using an artificial neural network; RELISTOR for opioid-induced constipation; and aPROMISE, an artificial intelligence medical device software; and PYLARIFY AI, an AI-based medical device software to perform quantitative assessment of PSMA PET/CT images in prostate cancer. In addition, it develops 1095, a PSMA-targeted iodine-131-labeled small molecule; PNT2002, a radiopharmaceutical therapy to treat mCRPC; PNT2003, an SSTR therapy that treats patients with SSTR-positive neuroendocrine tumors; MK-6240, a F 18-labeled PET imaging agent that targets Tau tangles in Alzheimer's disease; LNTH-1363S, an fibroblast activation protein, alpha targeted, copper-64 labeled PET imaging agent; and flurpiridaz used to assess blood flow to the heart;. It has collaboration agreements with GE Healthcare; NanoMab Technology Limited; Curium; RefleXion Medical, Inc.; POINT; Regeneron Pharmaceuticals, Inc; and Ratio Therapeutics LLC. The company was founded in 1956 and is based in Bedford, Massachusetts.",0.515,17.649672,14.904167,7.2550874,7450597376,69430600,14.791,6.08,7.2,0.41,5.086,14.166,1438011008,60.415,20.913,0.17405,0.5426
Lipocine Inc.,LPCN,United States,Biotechnology,Healthcare,"Lipocine Inc., a clinical-stage biopharmaceutical company, engages in the research and development for the delivery of drugs for the treatment of central nervous system (CNS) disorders. Its lead product candidate is TLANDO, an oral testosterone replacement therapy (TRT) comprising testosterone undecanoate. The company's pipeline candidates also include TLANDO XR a candidate for oral TRT for once daily dosing, which has completed Phase 2b clinical study; LPCN 1148, an oral prodrug of bioidentical testosterone, being developed for the treatment of cirrhosis, currently under Phase 2 clinical studies; LPCN 1154, An oral neurosteroid, being developed for the treatment of postpartum depression, currently under Phase 2 studies; LPCN 2101, a NAS candidate, for women with epilepsy; and LPCN 2203 for essential tremor. It is also involved in the development of LPCN 1144, an oral prodrug of bioidentical testosterone for the treatment of pre-cirrhotic non-alcoholic steatohepatitis, which has completed Phase 2 testing; and LPCN 1107, an oral product candidate of 17-alpha-hydroxy progesterone caproate product, currently under Phase 3 studies for the prevention of recurrent preterm birth. The company was founded in 1997 and is headquartered in Salt Lake City, Utah.",1.118,N/A,-3.903226,0.91527987,19626938,5347940,3.966,-1.6,-0.93,N/A,-0.602,0.299,4800930,1.157,0.903,-0.22673,-0.34116
"Leap Therapeutics, Inc.",LPTX,United States,Biotechnology,Healthcare,"Leap Therapeutics, Inc., a biopharmaceutical company, acquires and develops antibody therapies for the treatment of cancer. Its lead product candidates include DKN-01, a monoclonal antibody that inhibits Dickkopf-related protein 1, which is in multiple ongoing clinical trials for treating esophagogastric and gynecologic cancers; and FL-301, a monoclonal antibody that targets cells that express Claudin18.2 on their cell surface and is in phase II clinical trial, as well as two preclinical antibody programs, FL-302 and FL-501. Leap Therapeutics, Inc. has an option and license agreement with NovaRock, Adimab, and BeiGene, Ltd. to develop and commercialize DKN-01 in Asia (excluding Japan), Australia, and New Zealand. The company was formerly known as HealthCare Pharmaceuticals, Inc. and changed its name to Leap Therapeutics, Inc. in November 2015. Leap Therapeutics, Inc. was incorporated in 2011 and is based in Cambridge, Massachusetts.",0.316,N/A,-2.24,1.6288539,107140600,38264500,1.719,-0.98,-1.25,0.61,N/A,-0.451,N/A,0.733,N/A,-0.45619,-0.80541
Liquidia Corporation,LQDA,United States,Biotechnology,Healthcare,"Liquidia Corporation, a biopharmaceutical company, develops, manufactures, and commercializes various products for unmet patient needs in the United States. Its lead product candidates include YUTREPIA, an inhaled dry powder formulation of treprostinil for the treatment of pulmonary arterial hypertension (PAH) and pulmonary hypertension associated with interstitial lung disease (PH-ILD). The company also offers Remodulin, a treprostinil administered through continuous intravenous and subcutaneous infusion. The company also a license agreement with Pharmosa Biopharm Inc to develop and commercialize L606, an inhaled sustained-release formulation of Treprostinil for the treatment of PAH and PH-ILD. Liquidia Corporation was founded in 2004 and is headquartered in Morrisville, North Carolina.",0.321,N/A,-5.8511906,11.973204,767194112,76793696,0.821,-1.55,-1.68,0.05,47.888,-7.415,14840000,141.687,0.21,-0.40693,-1.81733
"Larimar Therapeutics, Inc.",LRMR,United States,Biotechnology,Healthcare,"Larimar Therapeutics, Inc., a clinical-stage biotechnology company, focuses on developing treatments for rare diseases using its novel cell penetrating peptide technology platform. Its lead product candidate is CTI-1601, which is in Phase 2 OLE clinical trial for the treatment of Friedreich's ataxia, a rare, progressive and fatal genetic disease. Larimar Therapeutics, Inc. is based in Bala Cynwyd, Pennsylvania.",0.781,N/A,-3.9166667,2.4117115,509814720,63806600,3.313,-1.14,-2.04,N/A,N/A,-4.417,N/A,2.647,N/A,-0.23587999,-0.37476003
"LakeShore Biopharma Co., Ltd",LSB,China,Biotechnology,Healthcare,"LakeShore Biopharma Co., Ltd, a biopharmaceutical company, engages in discovering, developing, manufacturing, and commercializing of vaccines and therapeutic biologics for infectious diseases and cancer. The company develops a proprietary PIKA immunomodulating technology platform and a series of product targeting PIKA rabies vaccine, PIKA recombinant COVID-19 vaccine, and PIKA YS-ON-001. It operates in China, the United States, Singapore, the United Arab Emirates, and the Philippines. The company was formerly known as YS Biopharma Co., Ltd. and changed its name to LakeShore Biopharma Co., Ltd in May 2024. LakeShore Biopharma Co., Ltd was founded in 2002 and is based in Beijing, China.",0.545,N/A,-1.8144,0.14746423,86550504,190808000,3.076,-0.57,-0.25,N/A,0.462,-0.838,573418240,72.532,5.363,-0.13846,-0.65993
N/A,LSBPW,China,Biotechnology,Healthcare,"LakeShore Biopharma Co., Ltd, a biopharmaceutical company, engages in discovering, developing, manufacturing, and commercializing of vaccines and therapeutic biologics for infectious diseases and cancer. The company develops a proprietary PIKA immunomodulating technology platform and a series of product targeting PIKA rabies vaccine, PIKA recombinant COVID-19 vaccine, and PIKA YS-ON-001. It operates in China, the United States, Singapore, the United Arab Emirates, and the Philippines. The company was formerly known as YS Biopharma Co., Ltd. and changed its name to LakeShore Biopharma Co., Ltd in May 2024. LakeShore Biopharma Co., Ltd was founded in 2002 and is based in Beijing, China.",0.545,N/A,N/A,0.019505851,N/A,N/A,3.076,N/A,N/A,N/A,N/A,N/A,573418240,72.532,5.363,-0.13846,-0.65993
"Lisata Therapeutics, Inc.",LSTA,United States,Biotechnology,Healthcare,"Lisata Therapeutics, Inc., a clinical-stage pharmaceutical company, focuses on the discovery, development, and commercialization of innovative therapies for the treatment of solid tumors and other diseases. Its product candidates include LSTA1, which is in Phase 2a and 2b clinical studies for the treatment of solid tumor, including metastatic pancreatic ductal adenocarcinoma (mPDAC), in combination with a range of anti-cancer regimens; XOWNA that is in Phase IIa clinical trial for the treatment of coronary microvascular dysfunction; and CD34+ cell therapy for the treatment of chronic kidney disease. Lisata Therapeutics, Inc. was incorporated in 1980 and is headquartered in Basking Ridge, New Jersey.",1.244,N/A,-1.0884615,0.6156188,24958788,8319600,4.597,-2.56,-2.6,-0.02,N/A,0.616,N/A,0.587,N/A,-0.28722998,-0.44030997
Lantern Pharma Inc.,LTRN,United States,Biotechnology,Healthcare,"Lantern Pharma Inc., a clinical stage biotechnology company, focuses on artificial intelligence, machine learning, and genomic data to streamline the drug development process. Its product pipeline comprises LP-300, which is in phase 2 clinical trial in combination therapy for never-smokers with non-small cell lung cancer adenocarcinoma; LP-184, which is in phase 1 clinical trial for the treatment of solid tumor, such as pancreatic, breast, bladder, and lung cancers, and glioblastoma and other central nervous system cancers; and LP-284, which is in phase 1 clinical trial for the treatment of non-Hodgkin's lymphomas, including mantle cell lymphoma and double hit lymphoma. The company develops STAR-001, which is in preclinical development for the treatment of glioblastoma, brain metastases, atypical teratoid rhabdoid tumors, and pediatric rare disease designation. In addition, it provides ADC program, an antibody drug conjugate therapeutic approach for cancer treatment. Further, the company's artificial intelligence platform RADR uses big data analytics and machine learning for combining molecular data. Lantern Pharma Inc. has a strategic AI-driven collaboration with Oregon Therapeutics to optimize the development of its first-in-class protein disulfide isomerase inhibitor drug candidate XCE853 in novel and targeted cancer indications. The company was incorporated in 2013 and is headquartered in Dallas, Texas.",1.555,N/A,-2.3019803,1.6173913,50055856,10764700,2.875,-1.65,-2.02,N/A,N/A,-0.871,N/A,0.707,N/A,-0.28073,-0.44823003
Lucid Diagnostics Inc.,LUCD,United States,Medical Devices,Healthcare,"Lucid Diagnostics Inc. operates as a commercial-stage medical diagnostics technology company in the United States. The company focuses on patients with gastroesophageal reflux disease (GERD) who are at risk of developing esophageal precancer and cancer, primarily highly lethal esophageal adenocarcinoma. Its flagship product, the EsoGuard Esophageal DNA Test performed on samples collected with the EsoCheck Esophageal Cell collection device, a testing tool with the goal of preventing EAC deaths through early detection of esophageal precancer in at-risk GERD patients. The company was incorporated in 2018 and is based in New York, New York. Lucid Diagnostics Inc. operates as a subsidiary of PAVmed Inc.",1.454,N/A,-1.1857142,N/A,40956268,49344900,-0.75,-1.23,-0.7,N/A,23.341,-2.083,3800000,89.104,0.086,-0.72725,-3.00515
"Innovative Eyewear, Inc.",LUCY,United States,Medical Instruments & Supplies,Healthcare,"Innovative Eyewear, Inc. develops and sells smart eyeglasses and sunglasses. The company's flagship product is Lucyd Lyte glasses that enable the wearer to listen to music, take and make calls, and use voice assistants and ChatGPT to perform various smartphone tasks hands-free. It also offers smart eyewear under the Lyte XL brand; and Nautica Powered by Lucyd smart eyewear collection and various branded accessories, including a power brick, cleaning cloth, and a slipcase adorned. In addition, the company provides Vyrb, a social media application that enables the user to receive and send posts through Lucyd Lyte smart glasses with an individual's voice; and Lucyd app for iOS and Android to provide voice access to ChatGPT in Lucyd eyewear. It sells its products through various e-commerce and retail channels. Innovative Eyewear, Inc. has a license agreement with Lucyd Ltd. The company was incorporated in 2019 and is headquartered in North Miami, Florida.",2.721,0.007030975,-0.9,0.7485964,5779692,1570570,4.809,512.02,-4,N/A,-0.109,0.021,1529782,1.029,2.079,-0.59061,-0.96526
N/A,LUCYW,United States,Medical Instruments & Supplies,Healthcare,"Innovative Eyewear, Inc. develops and sells smart eyeglasses and sunglasses. The company's flagship product is Lucyd Lyte glasses that enable the wearer to listen to music, take and make calls, and use voice assistants and ChatGPT to perform various smartphone tasks hands-free. It also offers smart eyewear under the Lyte XL brand; and Nautica Powered by Lucyd smart eyewear collection and various branded accessories, including a power brick, cleaning cloth, and a slipcase adorned. In addition, the company provides Vyrb, a social media application that enables the user to receive and send posts through Lucyd Lyte smart glasses with an individual's voice; and Lucyd app for iOS and Android to provide voice access to ChatGPT in Lucyd eyewear. It sells its products through various e-commerce and retail channels. Innovative Eyewear, Inc. has a license agreement with Lucyd Ltd. The company was incorporated in 2019 and is headquartered in North Miami, Florida.",2.721,N/A,N/A,0.011416095,N/A,N/A,4.809,N/A,N/A,N/A,N/A,N/A,1529782,1.029,2.079,-0.59061,-0.96526
