symbol,company,10차표준(세분류),주요상품,영업현황
A004840,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매","
판관비 크게 감소함에 따라 이익 상승

동사는 자동차 고무 부품(창고무), 토목건축자재, 면진제진시스템 등을 제공하는 종합고무부품을 영위. 동력 전달에 널리 쓰이는 전동벨트 및 운반라인의 효율성을 극대화 시킬 수 있는 컨베어벨트를 생산하는 산업용 고무제품부문과 의료기기 등을 생산하는 기타부문을 영위함. 자동차, 시멘트, 기계, 건설, 철강 등 실 수요처에 대한 직접영업과 대리점을 통한 유통영업을 병행하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 11.5% 증가, 영업이익은 196% 증가, 당기순이익은 901.4% 증가. 외형이 커진 가운데 원가율이 다소 악화되었으나 판관비가 크게 감소함에 따라 영업이익은 큰 폭으로 증가함. 기술 배양을 통해 신시장 개척, 제품 다각화에 대한 노력을 기하고 있으며, 기존제품에 대한 생산효율성 향상, 수요처 다변화를 통하여 성장을 이루어 나갈 계획임.

"
A115180,큐리언트,자연과학 연구개발업,저분자 혁신신약,"
매출 소폭 증가

동사는 2008년 설립된 의약품 연구개발 기업으로서 2016년 코스닥시장에 주권을 상장함. 동사가 영위하는 사업은 연구개발총괄부문과 의약품유통부문으로 나뉘어져 있음. 연구개발총괄부문에서는 항암제, 항생제, 항염제 등의 신약개발활동을, 의약품유통부문에서는 전문의약품 유통을 담당하고 있음. 항암 파이프라인으로는 면역항암제 Q702와 세포주기조절인자를 타겟하는 항암제 Q901이 있으며, MSD(미국 머크)와 공동개발계약을 체결함.2023년 12월 전년동기 대비 연결기준 매출액은 6.6% 증가, 영업손실은 15.5% 감소, 당기순손실은 17% 감소. 매출이 소폭 늘고 판매비와 관리비는 전년 대비 줄면서 수익성 소폭 개선됐음. 다만 여전히 적자 상태. 연구개발총괄부문에서 First in class의 신규 기전 항암치료제를 개발하는데 주력하고 있으며, 개발이 완료된 비항암 프로그램들(결핵, 아토피)는 이전을 통한 수익창출을 앞두고 있음.

"
A417970,모델솔루션,기타 특수 목적용 기계 제조업,"하이엔드 프로토타입 제조, 다품종 소량생산 서비스","
원가율 악화 및 비용 부담 지속

1993년 제일엔지니어링으로 개업 후, 2005년 법인 전환을 통해 설립됨. Apple, Amazon, Samsung, Google, Tesla, Abbott, Novartis 등 전세계 500여 고객사를 지원하는 첨단 기술 솔루션 회사. Hi-Fi 외형 모델부터 최첨단 우주항공 및 로보틱스 메가트로닉스 부품, 첨단 기술 의료 디바이스 부품에 이르기까지 생산 공정 및 품질 관리 시스템을 기반으로 탁월한 토탈 솔루션을 제공.2023년 12월 전년동기 대비 연결기준 매출액은 7.2% 감소, 영업이익은 96.9% 감소, 당기순이익은 86.2% 감소. 주요 매출처의 산업 경기 지표 악화에 따라 고객사 개발 계획 축소로 프로토타입 수주량이 감소하였고, CM사업부 대형프로젝트 연기로 2023년 매출이 역신장함. 비용 상승 요인으로는 높은 단가의 레진 사용 증가, 대형 금형 제작물과 이중 사출이 요구되는 프로젝트에서 외주가공이 증가 때문.

"
A008830,대동기어,특수 목적용 기계 제조업,"기어, 베벨기어, 축, 엑셀, T/M, 유성감속기, 기타조립품","
국내외 판매 호조로 외형 성장

동사는 농기계 및 자동차, 산업기계 등에 사용되는 동력전달장치부품 및 조합품을 제조, 판매하고 있음. 농기계 기업 대동 계열사. 전체 매출액 중 농기계용이 64.3%, 자동차용이 29.7% 산업용이 6% 비율의 매출액을 차지하고 있음(2023년 4분기 기준). 동사는 농기계, 자동차, 산업 기계 등의 동력전달장치부품 뿐만 아니라, 고정 밀도의 고부가가치 상품으로 신규 시장을 개척하고자 함.2023년 12월 전년동기 대비 별도기준 매출액은 16.2% 증가, 영업이익은 6.6% 증가, 당기순이익은 34.4% 감소. 트랙터 밋션 등 주력 제품이 국내와 해외 모두 전년 대비 판매가 늘어났고 소재 가격이 인상되며 전체 외형 성장을 견인함. 대동 매출 비율이 전체 62.4% 수준. 국내 유일의 동력전달장치전문 단일업체로 규모나 기술력 등 타 경쟁업체에 비하여 경쟁력 우위를 차지하고 있음.

"
A440290,HB인베스트먼트,신탁업 및 집합투자업,벤처투자조합 등 조합 결성 및 운영,#N/A
A027050,코리아나,"세제, 화장품 및 광택제 제조업",화장품,"
리테일 온라인 호조로 외형 성장

동사는 1988년 11월 15일에 설립되어 1999년 12월 10일 코스닥시장에 상장한 화장품 전문업체임. 화장품 제조 및 판매를 주 사업으로 영위하고 있으며, 라비다, 자인, 녹두, 세니떼, 비취가인, 앰플엔, 프리엔제, 엔시아, 텐세컨즈 등의 브랜드를 보유하고 있음. 동사는 화장품업계 최초로 CCM 8년연속 인증기업으로 선정됨에 따라 고객불만처리 우수기업임을 대내외로 인정받음2023년 12월 전년동기 대비 연결기준 매출액은 7% 증가, 영업이익은 6.8% 증가, 당기순이익은 18% 증가. 국내 사업 부문인 직방판 부문과 해외사업부문 중국 천진법인 내부거래 증가로 매출이 감소했지만 리테일, 온라인, 브랜드제조총판은  매출액이 증가하며 전체 외형 성장을 견인함 라비다샵은 기존 대면 영업 시스템을 온라인 유통 채널에 접목한 동사의 새로운 온라인 사업모델로, 방문판매 신화를 디지털상에서 재현하겠다는 목표임.

"
A094850,참좋은여행,여행사 및 기타 여행보조 서비스업,여행상품,"
여행업 정상화로 경영 정상화

2007년 삼천리자전거주식회사로부터 분할설립됨. 패키지여행상품, 항공권 판매, 각종 대행업무, 해외특산품 판매 등의 사업을 영위하고 있음. 사업부문은 여행사업부문과 상품(해외특산품 등)판매로 구분되며, 2023년 3분기 대부분의 매출은 여행서비스사업부문(97.9%)에서 발생하였음. 동사는 직판여행사로서 유통과정을 없애 보다 합리적인 가격의 여행상품을 제공하고 있음.2023년 12월 전년동기 대비 별도기준 매출액 403% 상승, 영업이익 흑자전환, 당기순이익 흑자전환함. 여행업 정상화 효과로, 여행서비스 부문 매출이 큰 폭으로 증가했으며 이를통해 영업이익은 흑자로 전환했고, 당기순이익도 흑자로 전환함. 코로나19로 인해 침체기였던 여행산업이 2022년 하반기를 접어들어 전세계적으로 입국 제한 및 방역 조치가 완화 됨에 따라 빠른 속도로 회복되고 있음.

"
A306620,네온테크,특수 목적용 기계 제조업,기업인수합병,"
푸드테크 분야에서 국내외 시장 공략

동사는 산업용 드론 사업의 입찰 경쟁 시 기술 점수 부문에서 10여곳의 경쟁업체들 대비 상위 1~3위 수준을 확보하고 있음. 동사는 2000년 10월 20일 설립되었으며, 반도체, 디스플레이, MLCC용 절단 장비 제조 및 판매를 주 영업목적으로 운영하고 있음. 유통 분야에서 주요 자동화설비 제조사와 20년째 대리점 관계를 지속적으로 유지해오고 있어 타사에 비해 경쟁력을 가지고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 64% 증가, 영업이익 흑자전환, 당기순손실은 36.2% 감소. 동사는 '보글봇'을 앞세워 신성장 동력으로 점찍은 푸드테크 분야에서 국내외 시장 공략을 시작함. 세계 최초로 개발한 플립칩-볼그리드어레이(FC-BGA) 반도체 패키지용 ‘양면 세정 쏘&소터’를 중국 시장에 수출을 시작하였고, 하반기에도 수출성과를 이어갈 것으로 기대됨.

"
A170030,현대공업,자동차용 기타 신품 부품 제조업,"시트패드, 암레스트, 헤드레스트","
신차 효과로 최대 매출 달성

동사는 1969년 설립되어 시트패드 발포 기술등을 바탕으로 주력 제품인 자동차용 시트패드, 암레스트,헤드레스트, 사이드패드를 개발 및 생산 판매하고 있음. 동사는 종속회사로 북경현공기차부건 유한공사, 황화현공기차부건 유한공사, HDI AMERICA INC 를 보유하고 있음. 동사의 제품들은 현대자동차 및 기아 등의 완성차업체들의 월간, 년간 계획에 따라 생산하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 10.4% 증가, 영업이익은 2.3% 증가, 당기순이익은 15% 증가. 동사는 신형 싼타페 등과 같은 신차 효과등으로 역대 최고 실적인 매출액 3,075억원을 달성하였으며, 이에 따라 이익도 소폭 성장함. 동사는 미국법인을 24년도에 가동하기 위하여 설비 등 생산 준비하고 있으며, 미국법인 가동은 매출 및 이익측면에서 보다 더 성장에 기여 할것으로 보임.

"
A067370,선바이오,완제 의약품 제조업,"PEG유도체 제품 (62%), 기술료수입 (38%)","
신공장 완공 예정

동사는 1997년 7월 설립되었으며 2022년 10월 5일 코스닥 시장에 상장함. 설립 이후 20여년간 PEG라는 생체적합 고분자를 주 성분으로 하는 파생 물질인 “PEG 유도체 소재""를 다양한 형태로 디자인하여 합성, 생산 및 판매하고 있음. Intas Pharma사에 기술이전 한 Pegfilgrastim 바이오시밀러는암 환자용 호중구감소증 치료제이며 세계적으로 5조원의 시장을 형성하고 있음.2023년 12월 전년동기 대비 별도기준 매출액은 65.7% 증가, 영업이익은 2618.3% 증가, 당기순이익은 430.1% 증가. 매출처의 제품매출 및 로열티수익이 크게 상승하였고, 매출원가 및 판관비 비용의 감소로 매출액과 영업이익 성장을 이루어냄. 2024년에는 인천광역시 남동공단에 본사 및 신공장 완공이 예정되어 있어, 생산 캐파가 확대되어 향후 추가적인 매출 상승을 견인할 수 있을 것으로 예상됨.

"
A043650,국순당,발효주 제조업,탁주 및 약주,"
수출시장 개발 주력

주류 제조 및 판매업을 영위할 목적으로 1983년 배한산업으로 설립되었으며, 1992년 ㈜국순당으로 상호를 변경함. 전통주의 대중화와 복원을 회사의 이념으로 하여 전통누룩 및 조효소제 기술을 바탕으로 술을 제조하여 전국에 분포되어 있는 도매점 및 할인점/슈퍼마켓/백화점 등의 판매망을 보유함. '백세주마을'이라는 직영 음식점을 통하여 우리 전통술 및 다양한 안주를 소비자에게 판매하고 있으며, 전국에 2개의 직영매장을 운영함.2023년 12월 전년동기 대비 연결기준 매출액은 5.5% 감소, 영업이익은 51.2% 감소, 당기순손실은 16% 감소. 차입금의 감소 및 이연법인세의 감소 등으로 자산총계은 전년대비 3.6% 감소하여 2,448억원, 부채총계는 9.2% 감소하여 177억원임. 현재는 미국, 중국, 일본을 중심으로 수출을 하고 있으며, 유럽, 동남아시아 등을 신규 시장으로 개척하고 있음.

"
A029480,광무,유선 통신장비 제조업,"네트워크 통합사업,네트워크 장비, 光 전송장비, S/W 제조, 네트워크관리","
외형 축소, 수익성 악화

1972년 7월 25일 케이디씨상사로 설립되었고, 2022년 02월 09일 주식회사 릭스솔루션에서 주식회사 광무로 상호가 변경되었음. 동사의 주요 사업은 NI(Network Integration)/ SI(System Integration)이며, Network Consulting, 기획, 설계, 구축, 감리, 유지보수 등을 제공하고 있음. 현재 신규사업으로 이차전지 소재ㆍ화학제품 유통, 제조 및 판매 사업을 영위중에 있음.2023년 12월 전년동기 대비 연결기준 매출액은 69% 감소, 영업이익 적자전환, 당기순이익 흑자전환. 2023년 리튬염 관련 원자재 수주감소 및 판매가격 하락으로 132억원 매출을 기록하였음. 향후 지속가능한 성장을 위한 장기적인 사업화 계획의 일환으로 이차전지 전해액 첨가제 개발 및 생산을 계획하고 있으며, 경제상황 및 시장상황을 검토하여 생산 캐파 향상을 계획중임.

"
A217730,강스템바이오텍,기초 의약물질 및 생물학적 제제 제조업,줄기세포치료제,"
매출 감소, 수익성 악

2010년 10월 29일에 줄기세포치료제의 개발, 제조 및 공급 등의 사업 영위를 목적으로 설립되었으며, 2015년 12월 21일 코스닥시장에 상장됨. 사업부문은 크게 줄기세포 사업, 화장품 사업, 비임상 사업으로 나눌 수 있음. 화장품 사업은 동사의 줄기세포 배양액을 기반으로 한 제품을 위주로 판매하고 있음. 화장품 사업은 당사의 줄기세포 배양액을 기반으로 한 제품을 위주로 판매 중임.고가부터 중저가의 제품라인업으로 구성됐음.2023년 12월 전년동기 대비 연결기준 매출액은 22.1% 감소, 영업손실은 10.8% 증가, 당기순손실은 8.5% 증가. 매출액은 비임상용역 경기불황으로 인해 전년 대비 35억원(22%) 감소한 127억원을 기록했음. 영업손실 규모가 커진 건 매출 감소 영향이 큼. 아토피피부염 치료제 ‘퓨어스템-에이디 주’는 2020년 10월 임상 3상 진행을 위해 식약처에 IND 승인을 신청한 상태임.

"
A004830,덕성,1차 플라스틱제품 제조업,"플라스틱레쟈,합성수지,합성피혁 제조,도매","
매출액 급감으로 영업이익 감소

동사 사업은 합성피혁 부문, 합성수지 부문, 재료사업 부문으로 분류되며 합성피혁 부문은 스포츠용품과 가구, 자동차 내장재 등을 만드는 데 쓰이는 합성피혁을 만들어 판매함. 합성수지 부문은 합성피혁 주원료를, 재료 사업 부문은 전자재료 등을 생산함. 국내업체는 동사를 비롯하여 (주)백산, 대원화성(주), (주)정산인터내셔널 등 약 30여개의 업체가 동업계를 형성하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 19% 감소, 영업이익은 3% 감소, 당기순이익은 124% 증가. IT용 소재 등의 매출감소로 영업이익은  감소하였으나,  연결당기순이익은 금융수익의 상승으로 증가했음. 올해 경영전망도 세계 각국의 전쟁으로 인한, 환율 및 국제유가의 불안, 중국시장의   원자재 소요 등 불확실성이 다분하지만 기존 사업의 토대 위에 새로운 제품의 개발에  주력하여 수익성 증대에 힘쓸 예정임.

"
A004540,깨끗한나라,종이 및 판지 제조업,"펄프,판지원지,화장지 제조,수출입","
4년 만의 영업적자

동사는 제품의 제조, 사용자, 종류 등에 따라 PS(Paper Solution)사업부와 HL(Home & Life)사업부로 구분해 사업을 영위하고 있음. PS사업부는 주로 포장재로 사용되는 백판지(산업용지, 식품용지, 특수용지 등) 등을 제조, 판매하는 사업을 영위함. HL사업부는 두루마리 화장지류, 미용티슈류, 기저귀류, 생리대류, 물티슈류, 마스크, 손소독제, 애견용품 등을 제조, 판매하는 생활용품사업을 영위함.2023년 12월 전년동기 대비 연결기준 매출액은 15.1% 감소, 영업이익 적자전환, 당기순손실은 960.7% 증가. 주력 사업인 백판지 부문 업황 악화와 공급경쟁 심화, 원자재비 상승 등으로 4년 만에 영업적자를 기록함. 단순히 가격을 올리는 것이 아닌 회사가 가진 강점과 부가가치가 높은 사업 등을 복합적으로 검토하고, 불필요한 것은 과감히 포기해 원가 혁신과 흑자 전환을 이루겠다는 계획.

"
A317830,에스피시스템스,산업용 로봇 제조업,산업용 갠트리 로봇,"
연구개발 및 신규사업 비용 증가

동사는 1988년에 설립되어 로봇자동화 제조 시스템 구축, 일반 산업기계의 제조, 판매 및 부속기기 제조, 판매업 등을 사업목적으로 하고 있음. 종속기업인 ㈜태화에스피 합병에 따라 기존 종속기업이 영위 중이던 사업을 목적 사업으로 '2차전지관련부품제조 및 판매업' 추가함. 기존 하드웨어 위주 사업 구조에서 소프트웨어 통합 솔루션 공급 실적이 증가하고, 종속기업인 엠아이큐브솔루션㈜의 계열사 편입에 따라 목적 사업 추가함.2023년 12월 전년동기 대비 연결기준 매출액은 13.8% 증가, 영업이익 적자전환, 당기순이익 적자전환. 로보틱스사업부문은 산업 및 고객 다변화에 따라 매출이 증가하였으나 일부 프로젝트 공사지연으로 영업이익률이 감소함. ICT사업부문은 국내IT와 SW의 융복합을 통한 생산공정 차별화에 대한 수요가 증가함에 따라 매출이 증가했지만 우수인력 채용 및 솔루션 연구개발비 등 신규사업을 위한 선제적 비용 증가로 영업이익이 감소함.

"
A123410,코리아에프티,자동차용 기타 신품 부품 제조업,"캐니스터,플라스틱필러넥,의장부품","
하이브리드 성장에 따른 수혜 전망

동사는 카본 캐니스터, 플라스틱 필러넥 등 자동차 연료계통 부품과 실내외 의장 부품 등 친환경 자동차 부품을 생산하고 있음. 현대차, 기아를 주요 매출처로 하여 자동차의 골격이 되는 차체 부품의 제조, 공급 및 판매회사임. 매출구성은 국내법인 50.44%, 폴란드 43.79%, 중국 7.92%, 인도 5.93% , 미국 3.4%, 연결조정 -11.47%로 이루어져 있음.2023년 12월 전년동기 대비 연결기준 매출액은 21.1% 증가, 영업이익은 74.5% 증가, 당기순이익은 226.7% 증가. 동사는 완성차 판매 호조에 따른 탑라인 성장, HEV 물량 확대에 따른 마진율을 개선함. 2022년 출시한 폭스바겐 전기차 전용 MEB 플랫폼 차량 ID BUZZ 의장부품 공급업체로 선정되는 등 코리아에프티는 유럽 자동차 부품 공급 파트너로 자리잡고 있음.

"
A034590,인천도시가스,연료용 가스 제조 및 배관공급업,도시가스 공급/가스설비공사,"
매출, 영업이익 동시증가

1983년 3월 7일 설립되었으며 2006년 유가증권시장에 주식을 상장하였고, 도시가스 공급업을 주요 사업으로 영위함. 한국가스공사의 주배관망을 통해 천연가스를 구입해 지구 및 지역정압기를 통해 공급압력을 조절한 후 공급권역의 수요가에게 당사 배관 등의 시설을 통해 판매하는 방식임. 연결대상 종속기업인 인주엔지니어링 주식회사는 2023년 5월 12일자로 청산되어 해당 사업을 영위하지 않게 되었음.2023년 12월 전년동기 대비 별도기준 매출액은 7.3% 증가, 영업이익은 95.2% 증가, 당기순이익은 46.7% 증가. 도시가스 단가 상승, 판매량 증가 등의 이유로 매출액은 7,813억원으로 전년대비 7.3% 증가하였음. 판매단가 상승으로 수익성이 급격히 증가했고, 이는 곧 영업이익 증가로 이어짐. 영업이익의 증가로 인해 당기순이익은 전년대비 43.8% 증가한 175억원 기록함.

"
A352910,오비고,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",스마트카 소프트웨어 플랫폼,"
자동차 산업 호조로 매출 증가

동사는 2003년 3월 설립되었으며, 스마트카 소프트웨어 플랫폼 개발 및 판매 업체임. 소프트웨어 솔루션 및 컨텐츠 서비스 사업의 두개의 축으로 자동차 차량제조사(OEM), 차량공급사 및 통신사를 고객으로 하는 B2B 사업을 영위함. 스마트카 컨텐츠 서비스 사업은 시작단계로 차량용 인포테인먼트 서비스 중심으로 지역별 서비스(음악, 날씨 등)를 오비고 소프트웨어 플랫폼 기반으로 제공하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 37% 증가, 영업손실은 80.9% 감소, 당기순이익 흑자전환. 국내 신규 완성차 고객사에 SW 상용화 출시 및 해외 고객사의 로열티 증가로 매출액이 증가하였으며, 수익증가 및 현금성 자산 증가에 따른 금융손익 증가로 당기순이익 흑자전환. 로열티 매출은 차량에 동사의 솔루션이 탑재 될 때마다 대당 수취하고있어, 자동차 산업 호조로 로열티 매출이 대폭 상승함.

"
A066620,국보디자인,실내건축 및 건축마무리 공사업,인테리어디자인,"
안정적인 사업매출로 순항중

동사는 실내 인테리어디자인 사업을 주 영업목적으로 1983년 8월 1일 설립되었으며, 2002년 9월 5일 코스닥시장에 상장됨. 동사는 인테리어의 기획 및 설계, 시공감리를 전문으로 하는 인테리어디자인 전문회사이며 최근에는 리모델링공사 및 해외사업개발에 주력하고 있음. IMF 이후 발주심사항목에서 회사 재정건실도 항목의 비중이 높아져 매출이 급상승했고 2012년부터 현재까지 12년동안 1위를 달성하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 6% 증가, 영업이익은 12.7% 증가, 당기순이익은 32.4% 증가. 인테리어사업 및 가구제조 부문의 성장에 따라 전년 대비 매출이 증가하였음. 원가율이 개선되어 영업이익 또한 늘어남. 동사는 무차입경영과 33년 연속 이익을 실현하였으며 전체 재고 건축물의 25% 내외가 지은지 20~30년 이상 된 시장 상황에 따라 리모델링 사업이 성장해갈것으로 예상됨.

"
A065530,와이어블,기타 전기 통신업,공용기지국건설/관리,"
5G품질평가 계획 수혜

공용 무선기지국(중계망) 전문 업체로서 지상, 지하철 및 각종 터널 구간의 공용 무선기지국(중계망)을 시공, 판매, 운용 및 유지 보수 사업을 영위함. 차별화된 기술력을 바탕으로 기지국(중계망) 공용화를 위한 기지국(중계망) 시설을 구축하고 각 사업자가 공용으로 활용할 수 있도록 운용 유지보수하고 있음. 2021년 3월 주주총회 의결로 기업이미지 제고 및 사업다각화를 위해 사명을 와이어블로 변경함.2023년 12월 전년동기 대비 별도기준 매출액은 12.4% 증가, 영업이익은 6.3% 감소, 당기순이익은 10.4% 증가. 5G품질평가 계획에 따른 통신시설구축에 집중한 결과 견조한 매출 성장을 보였으나 원가율 악화로 영업손익 개선은 이뤄지지 못함. 음영지역을 발굴, 지하철ㆍ도로ㆍ터널 등이 신설 될 경우, 설계를 먼저 시행하여 사업자에 제시하거나 신도시가 건설될 때 기지국 공용화를 먼저 추진하는 등 적극적인 영업을 추진함.

"
A009470,삼화전기,기타 전자부품 제조업,"콘덴서 제조,판매","
대내외 환경 악화로 이익 감소

동사는 1973년 삼화니찌콘 주식회사로 설립되어 1974년 삼화전기 주식회사로 사명을 변경하였으며 콘덴서의 제조 및 판매를 주 사업으로 하고 있음. 제품의 특성별로 전해콘덴서, 전기이중층콘덴서, 칩전해콘덴서, 하이브리드콘덴서 등 제품군으로 구별하고 있음. 종속회사인 삼화텍콤(주)는 인도네시아 현지공장인 PT.SAMWHA INDONESIA(보유지분 100%)를 설립하여 트랜스포머, 파워인덕터 등의 제품을 생산함.2023년 12월 전년동기 대비 연결기준 매출액은 15.3% 감소, 영업이익은 42.6% 감소, 당기순이익은 47.8% 감소. 러-우 전쟁이 양국뿐 아니라 세계 경제 및 산업에 타격을 입히는 등 악재가 지속된 탓에, 매출과 영업이익이 전반적으로 감소함. 동사의 23년 현금흐름은 영업활동 현금흐름으로 94억원이 발생되었고, 유형자산 취득 등으로 인한 투자활동 현금흐름으로 38억원이 유출됐음.

"
A045660,에이텍,컴퓨터 제조업,"PC,모니터","
매출, 영업이익 감소

LCD 디스플레이 응용제품을 제조, 생산 판매할 목적으로 1993년 설립되었으며, 2001년 5월에 코스닥시장에 상장됨. 동사는 녹색기술인증을 받은 절전형 PC 및 LED 모니터, 굿디자인 수상 슬림형 PC, 금융모니터 및 엘리베이터 DID 등을 개발한 기술력 및 노하우를 보유함. 디스플레이사업부문 및 기타부문으로 사업을 구분하고 있으며, 공공기관용 PC 및 모니터 시장을 주 타겟으로 하고 있음.매출액이 23% 감소한 719억원이며, 원재료 단가 상승과 판관비의 증가로 인하여 영업이익은 66% 감소한 9억원, 당기순이익은 10% 감소한 48억원임. 동사는  일반법인을 대상으로 하는 타겟 마켓팅 (Target Marketing)을 전개하고 있음. 고객의 needs에 맞는 제품을 개발, 생산하여 틈새시장 개척에 노력하고 있으며, 또한 지방 지역의 영업을 더욱 강화하는 판매전략을 펼치고 있음.

"
A023450,동남합성,기초 화학물질 제조업,"계면활성제,정밀화학품 제조,도매/부동산 임대","
외형 축소에 따른 영업이익 감소

계면활성제를 제조, 판매하는 회사로 세제, 섬유, 제지, 금속, 농약, 페인트, 피혁 등 전 산업에 걸쳐서 사용되고 있음. 동사는 생분해성이 우수한 섬유용 유연제등 환경친화성 에너지 절약형, 환경오염의 최소화 같은 다양한 제품개발 을 하고 있음. 비이온 계면활성제 분야에서는 국내최초로 좁은 에톡실레이션 분포를 가진 비이온 계면활성제 개발에 성공하여 현재까지 국내에서는 유일하게 제품을 공급하고 있음.2023년 12월 전년동기 대비 별도기준 매출액은 13.8% 감소, 영업이익은 40.1% 감소, 당기순이익은 44% 감소. 주요 원재료인 ETHYLENE OXIDE 외의 원가를 절감하였으나 외형 축소에 따라 영업이익도 감소하였음. 계면활성제는 응용기술의 발전과 산업의 고급화에 따라 세제, 화장품, 토목, 건축 분야등을 주축으로 하는 수요가 증가할 것이며, 국내 제조기술 개발에 따라 수입품을 대체할수 있을 것으로 전망됨.

"
A309960,LB인베스트먼트,그 외 기타 금융업,중소기업 창업투자,#N/A
A049960,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업,유산균 원말 및 완제품,"
수익성 측면 다소 부진한 모습

동사는 1995년 설립되어 토종유산균의 개발, 유산균의 고농도 배양방법 개발, 고농도 유산균 원말 개발 및 판매업을 영위하고 있음. 2002년에 코스닥 시장에 상장함. 동사는 듀오락 브랜드 유산균 완제품을 판매하고 있으며, 상온 보존성과 제품개발시 안정성이 높은 듀얼코팅 프로바이오틱스를 개발하여 국내, 일본, EU, 미국, 중국 특허를 받음. 제품 유통망으로 국내 쎌바이오텍인터내셔날, 해외 덴마크 및 프랑스의 자회사를 활용.2023년 12월 전년 대비 연결기준 매출액은 6.5% 증가, 영업이익 63.7% 감소, 당기순이익은 23.9% 감소. 경쟁강도가 높은 시장상황하에서 DUOLAC 브랜드의 성장과 해외 거래처 주문 증가로 매출 증가하였으나, 원가율 상승 및 판관비 증가 영향으로 수익성 악화된 모습. 프로바이오틱스는 식품 외, 항궤양제, 항생제, 항암제 등 의약품으로서의 적용범위가 다양하여 향후 의약품 시장 성장이 예상됨.

"
A109670,씨싸이트,0,니트류 OEM,#N/A
A241690,유니테크노,자동차용 신품 동력전달장치 및 전기장치 제조업,"자동차 부품, 전기차 부품, 배터리 셀케이스, ESS 배터리 모듈, SBW 및 EPB, EPS 전동화 부품","
매출, 영업이익 급등

동사는 가정용 ESS와 차량의 배터리 셀 케이스 및 엔진과 차량의 윈도우 및 와이퍼용 모터부품 등 차량의 구동 및 전장품에 사용되는 다양한 모터류의 부품 및 조립을 하고 있음. 주요 고객사는 삼성SDI, 디와이오토 Behr 사 등의 자동차 부품 제조 업체임. 동사의 배터리 셀 부품 제조 및 조립은 동사가 특허를 낸 공법에 따라 제작됨에 따라 타사 대비 낮은 불량률과 높은 생산성으로 기술적 안정성을 가지고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 23.7% 증가, 영업이익은 87% 증가, 당기순이익은 86.9% 증가. 미ㆍ중 패권 경쟁 등으로 인한 글로벌  위기 속에서도 전사적인 노력을 기울여 매출과 영업이익 모두 상승하는 실적을 거둠. 동사는 R&D 강화, 국내외 시장 확대를 위한 현지 개발영업 역량 확보, 제조경쟁력 강화를 위한 자동화 및 생산혁신 활동에 집중하는 전략을 추진중임.

"
A066590,우수AMS,자동차 엔진용 신품 부품 제조업,"엔진, 조향 및 기아변속기 부품","
전방산업 호조로 안정적인 성장세 유지

동사는 자동차 부품 전문 생산 업체로서 조향부품, 구동부품 등 자동차부품의 제조를 그 주된 사업으로 영위하고 있음. WOOSU CZECH의 경우 현대자동차 체코법인에 제품 판매를 위하여 2012년 4월 5일에 설립하였음. 현재 국내자동차 3사 등에 엔진브라켓트, 샤시파트, 변속기부품 등 기존 물량을 계속 공급 및 신차개발에 적극 참여하고 있으며 국내 자동차 메이커의 신뢰성 확보로 안정적인 성장기반을 확보.2023년 12월 전년동기 대비 연결기준 매출액은 7% 증가, 영업이익은 119% 증가, 당기순이익 흑자전환. 자동차부품산업의 경기 개선으로 주요 고객사의 판매 호조와 더불어 주력 제품 수여가 늘어나 외형은 확대되고, 이익도 성장세를 유지함. 자회사인 우수TMM은 초소형 전기차 부품 가운데 80% 이상을 국산화 하는 데 성공했으며, 주행 성능과 충동 테스트에서 정부인증 기준을 상회하는 성과를 달성함.

"
A071670,에이테크솔루션,기타 특수 목적용 기계 제조업,"대형정밀금형(가전,자동차용 등)","
원가율 상승에 따른 영업이익 감소

동사는 2001년 설립되어  주형 및 금형 제조업을 영위하고 있음. 동사의 사업부문은 MOLD, PRESS, 정밀부품 사업부 체제로 운영되고 있음. 동사의 제품 품목으로는 대형TV, 에어컨, 세탁기등 가전제품 및 자동차부품을 생산하는데 필요한 금형제품인 MOLD 및 PRESS가 있음. 또한 금형제작 시 발생하는 소모성 금속류, 레진가공 및 자동차 부품, 복합기 부품, LED부품류 등의 정밀 부품이 있음.2023년 12월 전년동기 대비 연결기준 매출액은 7.6% 증가, 영업이익은 39.1% 감소, 당기순이익은 66.1% 감소. 공급망 불균형 및 인플레이션에 따라 전반적인 사업부에 필요한 원재료 가격이 상승하였음. 판관비와 인건비 등 비용 절감 노력 성공에도 불구하고 영업이익이 감소 신시장인 터키, 인도, 러시아, 슬로바키아 등에 대한 진출로써 해외영업을 다양화하여 매출처 다변화를 추진 중

"
